Tag	TFPAIR	relaxed	constrained	cluster	ED	DBD
DUXA	no	no	no	2	R	Homeodomain
CPHXL2	no	no	no	2	other	Homeodomain
SPZ1	no	no	no	2	other	other
LHX1	no	no	no	2	other	Homeodomain
HOXA1	no	no	no	2	other	Homeodomain
LHX2	tfpair	no	yes	2	A	Homeodomain
LEUTX	no	no	no	2	other	Homeodomain
ETS2	no	no	no	2	other	Ets
SMAD1	no	no	no	2	other	other
HNF1A	tfpair	yes	no	2	A	Homeodomain
RFX2	tfpair	no	yes	2	other	other
FOXJ3	no	no	no	2	other	other
BHLHA15	tfpair	yes	no	2	other	other
EHF	tfpair	yes	no	2	other	Ets
ETS1	tfpair	yes	no	2	other	Ets
NFATC4	no	no	no	2	other	other
ARID5B	no	no	no	2	other	other
POU5F1	no	no	no	2	other	other
DUXB	no	no	no	2	other	Homeodomain
OTX2	no	no	no	2	other	Homeodomain
GATA1	no	no	no	2	AR	other
JAZF1	no	no	no	2	other	C2H2_ZF
ESR1	no	no	no	2	A	other
ZBTB7B	no	no	no	2	other	C2H2_ZF
TCF3	no	no	no	2	other	other
E2F3	no	no	no	2	A	other
RFX1	tfpair	no	yes	2	A	other
NFATC3	no	no	no	2	other	other
FOXA1	no	no	no	2	AR	other
PITX1	no	no	no	2	A	Homeodomain
STAT1	no	no	no	2	A	other
PBX4	no	no	no	2	A	Homeodomain
TFAP4	no	no	no	2	A	other
CREB1	no	no	no	2	A	other
HOXA4	no	no	no	2	other	Homeodomain
HSF4	no	no	no	2	AR	other
ZHX2	no	no	no	3	R	Homeodomain
PPARG	no	no	no	2	A	other
ZGPAT	no	no	no	3	R	other
FOXO1	no	no	no	2	A	other
HES7	no	no	no	3	R	other
ETV3L	no	no	no	3	other	Ets
NR2F6	no	no	no	3	R	other
RFX8	no	no	no	3	other	other
LHX8	no	no	no	3	other	Homeodomain
SIX4	no	no	no	3	other	Homeodomain
GCM2	no	no	no	3	other	other
ALX4	no	no	no	3	A	Homeodomain
ZBTB1	no	no	no	3	R	C2H2_ZF
SIX5	no	no	no	3	A	Homeodomain
ZBTB9	no	no	no	3	other	C2H2_ZF
HSF1	no	no	no	3	A	other
MYSM1	no	no	no	3	A	other
GABPB1	no	no	no	3	other	other
ETV6	no	no	no	3	R	Ets
GPBP1L1	no	no	no	3	other	other
ZBTB33	no	no	no	3	other	C2H2_ZF
