chr5	136132845	136188747	SMAD5
chr22	37970686	37987422	SOX10
chr17	7588178	7590094	SOX15
chr8	54457935	54460892	SOX17
chr3	181711925	181714436	SOX2
chr6	21593751	21598619	SOX4
chr12	23529504	24562544	SOX5
chr11	15966449	16739591	SOX6
chr17	72121020	72126416	SOX9
chr12	53380176	53416446	SP1
chr12	53326575	53345315	SP7
chr6	34537802	34556333	SPDEF
chr11	47354860	47378547	SPI1
chr19	50418938	50431314	SPIB
chr12	101475336	101486997	SPIC
chr5	80319625	80321842	SPZ1
chr2	190908460	191020960	STAT1
chr17	42313324	42388540	STAT3
chr2	191029576	191151596	STAT4
chr17	42287547	42311943	STAT5A
chr17	42199177	42276707	STAT5B
chr6	166157656	166168700	TBXT
chr2	161416297	161425870	TBR1
chr17	47733236	47746122	TBX21
chr19	1609290	1652615	TCF3
chr11	12674421	12944737	TEAD1
chr19	49340595	49362457	TEAD2
chr6	35473597	35497079	TEAD3
chr12	2959330	3040676	TEAD4
chr6	10393186	10419659	TFAP2A
chr20	56629306	56639283	TFAP2C
chr16	4257186	4273075	TFAP4
chr10	101131300	101137789	TLX1
chr2	74513463	74517148	TLX2
chr5	171309248	171312139	TLX3
chr19	47801243	47819051	TPRX1
chr19	47860113	47861512	TPRX2
chr1	161039251	161045977	USF1
chr20	25070885	25082141	VSX1
chr22	28794555	28800597	XBP1
chr14	100238298	100282788	YY1
chr14	64503712	64533690	ZBTB1
chrX	120250752	120258398	ZBTB33
chr3	141324213	141449792	ZBTB38
chr1	155002630	155018522	ZBTB7B
chr6	33453970	33457544	ZBTB9
chr20	63707465	63736142	ZGPAT
chr8	122781655	122974510	ZHX2
chrX	137566127	137577691	ZIC3
chr16	3222325	3236221	ZNF200
chr16	3263800	3301401	ZNF263
chr19	52527652	52564464	ZNF808
